,Bacteroidales,Bacteroides_buccalis,Bacteroidaceae,Bacillus_thetaiotaomicron,Bacteroides_xylanisolvens,Bacteroides_caccae,Hyphomicrobium_sp,Bacillus_fragilis,Bacteroides_stercoris,Bacteroides_sp._HF-5287,Bacteroides_dorei,Aristida,Butyricimonas_faecalis,Bacteroides_splanchnicus,Alistipes_communis,Alistipes_shahii,Alistipes_onderdonkii,Parabacteroides,Bacteroides_merdae,Bacteroides_goldsteinii,Faecalibacterium,Faecalibacterium_sp._HTF-F,Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I4-1-79,Faecalibacterium_sp._I3-3-33,Ruminococcus_bicirculans,Ruminococcus_sp._FMBCY1,Ruminococcus_bovis,Dysosmobacter_welbionis,Ruminococcaceae_bacterium_585-1,Roseburia_hominis,Dixidae,Butyrivibrio_crossotus,Coprococcus_sp._ART55/1,Mediterraneibacter_lactaris,Lachnospiraceae_bacterium_NSJ-8,Eubacterium_eligens,Megamonas_funiformis,Veillonella_alcalescens,Enterobacteraceae,Enterobacter,Ctenomys_rionegrensis,Polyangium_sp.,Haemophilus_parainfluenzae,Desulfomonas_pigra,Akkermansia_muciniphila
P_001-2,363012,1383,148551,465592,193044,8235,400768,45154,200105,86577,80770,9014,37141,53167,95529,59911,535341,553540,212103,10891,236224,70542,129157,58715,52376,453741,341578,3024,179866,26071,30042,47322,7611,6378,5958,544732,91134,182,614,21390,548,4,431,667,1106,977821
P_002-2,582295,1041,174930,275091,234238,213937,865057,224963,234314,269015,1845400,3474,5986,172521,138163,464595,577885,78438,394033,28194,119946,44727,13526,139152,125234,3946,15875,1893,92404,40351,33662,38327,13593,4083,38062,736081,225275,200,65,2299,725,17,541,161,167081,660849
P_003-2,216649,42269,30573,83850,59061,8689,28343,15682,14197,6063,22913,14987,14797,11484,7963,20082,10278,6846,21078,4354,218419,122761,32877,77637,58026,8157,91206,3127,107214,70961,22865,22746,74345,28670,8673,52200,32454,334,10685,18022,1623,18,130394,18743,35582,3438
P_004-2,384011,3677,81783,447084,300839,900557,1015421,47291,166924,23418,363466,18743,11496,214966,175836,50703,155373,180982,247874,13870,336536,371053,167539,118334,93043,168462,8061,1925,48162,40022,168374,41226,17280,6331,41503,210674,366732,22400,1369,10781,542,14,419,5645,2122,995
P_005-2,331071,6851,76782,167105,98112,37122,246627,76101,620557,3373,525837,12780,17534,60193,94937,4806,4010,116114,625754,1855,359904,166873,61751,247523,100273,110483,107271,12296,143973,56925,65677,53748,124461,27948,30820,107934,70318,20816,258,7069,743,10,665,536,105082,235877
P_006-2,424160,1955,95660,136674,230195,11981,1211578,54453,49813,17170,263880,38808,5996,66047,143098,122970,1041365,33747,12656,5025,210103,83102,102050,71190,66566,11678,19550,1975,33262,34411,76063,126631,20035,7518,58632,289972,291072,4253,275,14147,482,15,540,792,1150,94910
P_007-2,193810,9249,37008,118911,96609,103136,38250,31051,11640,5847,50305,20934,43468,43081,55633,12931,12046,17081,16681,2624,358569,581416,164674,129182,112905,295977,4644,1247,44934,39729,31559,37935,100669,48621,47237,66268,22182,206,677,9546,582,16,739,402,41421,398461
P_008-2,216735,17064,34922,121129,42548,109887,250515,16412,31890,13340,96002,5379,18461,345614,47106,192465,21693,116609,20205,19553,177650,67530,53391,79258,64071,8812,4231,1275,82065,39836,60947,37921,13539,5469,24174,234570,282237,205,1774,521711,88482,234,18751,44882,57151,2029
P_009-2,197653,21987,38994,156437,69364,32835,234018,27949,36996,31145,26165,23244,35833,101760,22239,163765,16793,24694,44338,11245,316908,168196,50307,254502,118328,61924,97215,2096,22705,14569,43816,20395,14876,87257,8968,121646,20787,548,24221,47779,946,105,1265,3572,708,38265
P_010-2,562549,1616,84343,167184,355101,16109,1247105,216668,5160,6193,707580,5464,5925,23669,102736,38785,9304,63331,82170,14257,300151,145007,223826,202471,186924,12111,8927,1991,32955,14547,75403,155568,22377,7449,30651,553933,641872,245,428,5875,522,9,279,637,37845,5095
