,Bacteroidales,Bacteroides_buccalis,Bacteroidaceae,Bacillus_thetaiotaomicron,Bacteroides_xylanisolvens,Bacteroides_caccae,82,Bacillus_fragilis,Bacteroides_stercoris,Bacteroides_sp._HF-5287,Bacteroides_dorei,38709,Butyricimonas_faecalis,Bacteroides_splanchnicus,Alistipes_communis,Alistipes_shahii,Alistipes_onderdonkii,Parabacteroides,Bacteroides_merdae,Bacteroides_goldsteinii,Faecalibacterium,Faecalibacterium_sp._HTF-F,Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I4-1-79,Faecalibacterium_sp._I3-3-33,Ruminococcus_bicirculans,Ruminococcus_sp._FMBCY1,Ruminococcus_bovis,Dysosmobacter_welbionis,Ruminococcaceae_bacterium_585-1,Roseburia_hominis,41824,Butyrivibrio_crossotus,Coprococcus_sp._ART55/1,Mediterraneibacter_lactaris,Lachnospiraceae_bacterium_NSJ-8,Eubacterium_eligens,Megamonas_funiformis,Veillonella_alcalescens,Enterobacteraceae,547,88126,57,729,901,239935
P_001_1,384475.0,822.0,288225.0,765698.0,95925.0,9835.0,230618.0,151971.0,70465.0,151452.0,123236.0,10030.0,16117.0,130972.0,149803.0,63057.0,322811.0,291717.0,274598.0,6604.0,453578.0,120506.0,416083.0,186156.0,159417.0,115187.0,7331.0,1596.0,223139.0,37582.0,39545.0,62178.0,101167.0,8504.0,10704.0,368650.0,86455.0,160.0,990.0,17275.0,821.0,17.0,577.0,711.0,1098.0,792715.0
P_002_1,377398.0,17368.0,64436.0,327900.0,141442.0,349179.0,553100.0,35597.0,157502.0,331218.0,83468.0,16764.0,15527.0,199986.0,121848.0,567631.0,23749.0,56802.0,134618.0,35002.0,233851.0,82530.0,30418.0,64795.0,66117.0,246568.0,9883.0,1942.0,134229.0,57275.0,52584.0,37185.0,353866.0,6117.0,23397.0,538489.0,29671.0,666.0,1266.0,20916.0,83185.0,88844.0,52343.0,17627.0,1833.0,157364.0
P_003_1,117748.0,23145.0,23752.0,77117.0,48481.0,5977.0,16086.0,9623.0,12014.0,4138.0,23610.0,12470.0,11161.0,6628.0,5915.0,6361.0,3756.0,2843.0,7250.0,2142.0,145913.0,39834.0,23069.0,46174.0,38769.0,10603.0,104769.0,1622.0,54124.0,39539.0,15171.0,33118.0,39529.0,50610.0,6107.0,32369.0,23431.0,366.0,58112.0,81004.0,1961.0,40.0,683453.0,117123.0,15489.0,1816.0
P_004_1,248637.0,1325.0,59428.0,834419.0,494203.0,1220616.0,148677.0,37272.0,219890.0,8883.0,526293.0,13175.0,14554.0,200545.0,199896.0,5206.0,48099.0,296600.0,391931.0,4870.0,279133.0,293413.0,136129.0,47284.0,29506.0,124296.0,1630.0,798.0,55190.0,58925.0,70126.0,41031.0,13472.0,4430.0,49904.0,29858.0,55745.0,34824.0,6807.0,370520.0,758.0,12.0,543.0,11004.0,3017.0,867.0
P_005_1,141672.0,9857.0,35147.0,81580.0,53487.0,3110.0,36769.0,14607.0,89136.0,2282.0,29075.0,14975.0,3577.0,15586.0,47207.0,1122.0,808.0,33291.0,68685.0,1957.0,150718.0,23030.0,11298.0,10003.0,9940.0,1857.0,8872.0,1307.0,16957.0,16706.0,14056.0,21306.0,5400.0,2721.0,3141.0,88012.0,7420.0,123521.0,150.0,674.0,134.0,0.0,114.0,263.0,248.0,1839.0
P_006_1,474861.0,5420.0,162679.0,345442.0,202734.0,48704.0,1125024.0,105286.0,57239.0,46923.0,502499.0,219112.0,10768.0,64584.0,118057.0,71288.0,171057.0,28868.0,38447.0,9983.0,414762.0,105310.0,123318.0,87370.0,84650.0,25529.0,10835.0,1416.0,52691.0,18531.0,56483.0,46050.0,34126.0,5194.0,25132.0,136787.0,100909.0,175863.0,262.0,7489.0,4529.0,4563.0,3084.0,1268.0,1334.0,26076.0
P_007_1,267575.0,12278.0,55171.0,176839.0,131094.0,80843.0,56008.0,31465.0,8309.0,6654.0,88112.0,33172.0,100693.0,63070.0,19321.0,10793.0,4323.0,18595.0,18325.0,2557.0,225067.0,195333.0,129320.0,62582.0,56211.0,45462.0,6653.0,949.0,26204.0,19474.0,20998.0,38840.0,73161.0,30885.0,18708.0,56834.0,7914.0,496.0,395.0,3651.0,370.0,7.0,393.0,423.0,21261.0,240472.0
P_008_1,155394.0,37859.0,37939.0,92329.0,71681.0,29389.0,99777.0,13625.0,24406.0,61003.0,29257.0,13405.0,18658.0,48454.0,24615.0,95869.0,10868.0,29561.0,35474.0,3729.0,271312.0,72086.0,68829.0,54666.0,41585.0,2473.0,6812.0,1776.0,30089.0,7540.0,20071.0,76702.0,41828.0,31388.0,19773.0,124282.0,28666.0,479.0,5080.0,1263409.0,20047.0,89.0,7685.0,76321.0,16147.0,1181.0
P_009_1,185660.0,15407.0,38243.0,107550.0,23814.0,7636.0,673240.0,280704.0,324709.0,4440.0,25184.0,11543.0,1658.0,31497.0,1542.0,131467.0,6044.0,29629.0,3128.0,13188.0,157914.0,113929.0,21548.0,95843.0,39383.0,9601.0,1121.0,920.0,11800.0,9864.0,19393.0,14023.0,10382.0,47106.0,4992.0,118394.0,186899.0,150.0,15873.0,80326.0,306.0,6.0,1911.0,75995.0,621.0,4943.0
P_010_1,508402.0,4649.0,178417.0,361759.0,216682.0,25193.0,1226878.0,114703.0,51493.0,26441.0,552607.0,245420.0,10649.0,58403.0,127312.0,46909.0,197978.0,28135.0,34457.0,9088.0,496963.0,123768.0,150406.0,102210.0,99375.0,13598.0,12022.0,1515.0,53416.0,17913.0,60800.0,52530.0,11600.0,5640.0,27347.0,129426.0,111806.0,207759.0,264.0,7553.0,310.0,13.0,857.0,252.0,1435.0,18179.0
